РК;Аптека;Код АП;Товар;Штрих;Серия;срок годности;Номер;Дата;Дата ввода КИЗа;Статус;SGTIN;Код ошибки;Ошибка;Схема;Номер поставщика;Дата поставщика;Поставщик;Ошибка КИЗа;Задвоение;Интернет-заказ;Продажа;GSPO;Комментарий ГСПО;Уникальный код;MD аптеки;MD поставщика;Start;PUT;VER;Size;ГИС МТ
" Красноярск_ООО ""Аптечная сеть Оз"" "; крсАпт  91 ; 103597 ; Кальций Д3 Никомед таб.жев. апельсин  №120 ; 2000910818977 ; 00520524 ;31.10.2026; 24091/ПН-00003126 ;10.10.2024;10.10.2024; HOLD ; 046021560010901001887274325 ; -1 ; Во входящих документах не обнаружено подтверждение КИЗ ; 701 ; 315920410-001 ;10.10.2024; Протек-07 (Красноярск) ; OK ; OK ; protek.ru/42624490 ; OK ; NULL ;нет дополнительной информации; 55902C21-8ABA-425E-8B11-59079C3CCE94 ; 00000000533446 ; 00000000000502 ; 2024-10-11 08:14:54.300 ; 24A-0091SRV.apt.rigla.ru,8703 -d Rigla_24091 -U sa -P efarma2 ; 29 ; ЛС ; NULL
" Югра_ООО ""Ригла"" "; хмнАпт  77 ; 68541 ; Калия перманганат пор. 15г ; 2000773039588 ; 10224 ;01.01.2029; 86077/ПН-00021575 ;26.09.2024;24.09.2024; HOLD ; 0460398801321381KB0B022K8B5 ; -1 ; Во входящих документах не обнаружено подтверждение КИЗ ; 701 ; ЕКТ02154492 ;20.09.2024; Пульс, Югра ; OK ; OK ; NULL ; OK ; 88 ;уведомление 601 содержит SSCC а не SGTIN; F44DDA1E-CE90-4526-AD78-C69726FE705F ; 00000000490177 ; 00000000305734 ; 2024-10-11 06:17:39.037 ; 86A-0077SRV.apt.rigla.ru,8703 -d Rigla_86077 -U sa -P efarma2 ; 29 ; ЛС ; NULL
" Югра_ООО ""Ригла"" "; хмнАпт  77 ; 68541 ; Калия перманганат пор. 15г ; 2000773039588 ; 10224 ;01.01.2029; 86077/ПН-00021575 ;26.09.2024;24.09.2024; HOLD ; 04603988013213A1K40B0200A44 ; -1 ; Во входящих документах не обнаружено подтверждение КИЗ ; 701 ; ЕКТ02154492 ;20.09.2024; Пульс, Югра ; OK ; OK ; NULL ; OK ; 88 ;уведомление 601 содержит SSCC а не SGTIN; E669675E-1F4C-4D40-88AF-615070AF7572 ; 00000000490177 ; 00000000305734 ; 2024-10-11 06:17:39.037 ; 86A-0077SRV.apt.rigla.ru,8703 -d Rigla_86077 -U sa -P efarma2 ; 29 ; ЛС ; NULL
" Югра_ООО ""Ригла"" "; хмнАпт  77 ; 68541 ; Калия перманганат пор. 15г ; 2000773039588 ; 10224 ;01.01.2029; 86077/ПН-00021575 ;26.09.2024;24.09.2024; HOLD ; 04603988013213C1K10B023DC19 ; -1 ; Во входящих документах не обнаружено подтверждение КИЗ ; 701 ; ЕКТ02154492 ;20.09.2024; Пульс, Югра ; OK ; OK ; NULL ; OK ; 88 ;уведомление 601 содержит SSCC а не SGTIN; A07D1DD9-5408-4B2F-A8A7-271CA42991F1 ; 00000000490177 ; 00000000305734 ; 2024-10-11 06:17:39.037 ; 86A-0077SRV.apt.rigla.ru,8703 -d Rigla_86077 -U sa -P efarma2 ; 29 ; ЛС ; NULL
" Югра_ООО ""Ригла"" "; хмнАпт  77 ; 68541 ; Калия перманганат пор. 15г ; 2000773039588 ; 10224 ;01.01.2029; 86077/ПН-00021575 ;26.09.2024;24.09.2024; HOLD ; 04603988013213E1KG0B024JEG6 ; -1 ; Во входящих документах не обнаружено подтверждение КИЗ ; 701 ; ЕКТ02154492 ;20.09.2024; Пульс, Югра ; OK ; OK ; NULL ; OK ; 88 ;уведомление 601 содержит SSCC а не SGTIN; BC9E8A4A-71AF-4EC4-8815-A34DDDD581AE ; 00000000490177 ; 00000000305734 ; 2024-10-11 06:17:39.037 ; 86A-0077SRV.apt.rigla.ru,8703 -d Rigla_86077 -U sa -P efarma2 ; 29 ; ЛС ; NULL
" Югра_ООО ""Ригла"" "; хмнАпт  77 ; 68541 ; Калия перманганат пор. 15г ; 2000773039588 ; 10224 ;01.01.2029; 86077/ПН-00021575 ;26.09.2024;24.09.2024; HOLD ; 04603988013213E1KK0B022JEKA ; -1 ; Во входящих документах не обнаружено подтверждение КИЗ ; 701 ; ЕКТ02154492 ;20.09.2024; Пульс, Югра ; OK ; OK ; NULL ; OK ; 88 ;уведомление 601 содержит SSCC а не SGTIN; 48902C14-B8CC-420F-A369-C5D6C8BA16DA ; 00000000490177 ; 00000000305734 ; 2024-10-11 06:17:39.037 ; 86A-0077SRV.apt.rigla.ru,8703 -d Rigla_86077 -U sa -P efarma2 ; 29 ; ЛС ; NULL
" Югра_ООО ""Ригла"" "; хмнАпт  77 ; 68541 ; Калия перманганат пор. 15г ; 2000773039588 ; 10224 ;01.01.2029; 86077/ПН-00021575 ;26.09.2024;24.09.2024; HOLD ; 04603988013213F1K50B0219F54 ; -1 ; Во входящих документах не обнаружено подтверждение КИЗ ; 701 ; ЕКТ02154492 ;20.09.2024; Пульс, Югра ; OK ; OK ; NULL ; OK ; 88 ;уведомление 601 содержит SSCC а не SGTIN; 78A770EE-4A08-4604-B56D-F77A7EC69843 ; 00000000490177 ; 00000000305734 ; 2024-10-11 06:17:39.037 ; 86A-0077SRV.apt.rigla.ru,8703 -d Rigla_86077 -U sa -P efarma2 ; 29 ; ЛС ; NULL
" Югра_ООО ""Ригла"" "; хмнАпт  77 ; 68541 ; Калия перманганат пор. 15г ; 2000773039588 ; 10224 ;01.01.2029; 86077/ПН-00021575 ;26.09.2024;24.09.2024; HOLD ; 04603988013213F1KE0B021BFE0 ; -1 ; Во входящих документах не обнаружено подтверждение КИЗ ; 701 ; ЕКТ02154492 ;20.09.2024; Пульс, Югра ; OK ; OK ; NULL ; OK ; 88 ;уведомление 601 содержит SSCC а не SGTIN; AAAAF8A4-4188-49D9-BD22-D9C34AF148AB ; 00000000490177 ; 00000000305734 ; 2024-10-11 06:17:39.037 ; 86A-0077SRV.apt.rigla.ru,8703 -d Rigla_86077 -U sa -P efarma2 ; 29 ; ЛС ; NULL
" Югра_ООО ""Ригла"" "; хмнАпт  77 ; 68541 ; Калия перманганат пор. 15г ; 2000773039588 ; 10224 ;01.01.2029; 86077/ПН-00021575 ;26.09.2024;24.09.2024; HOLD ; 04603988013213J1K30B022CJ3J ; -1 ; Во входящих документах не обнаружено подтверждение КИЗ ; 701 ; ЕКТ02154492 ;20.09.2024; Пульс, Югра ; OK ; OK ; NULL ; OK ; 88 ;уведомление 601 содержит SSCC а не SGTIN; AC6B05AE-B572-4A5A-B524-F8ABB6722749 ; 00000000490177 ; 00000000305734 ; 2024-10-11 06:17:39.037 ; 86A-0077SRV.apt.rigla.ru,8703 -d Rigla_86077 -U sa -P efarma2 ; 29 ; ЛС ; NULL
" Югра_ООО ""Ригла"" "; хмнАпт  77 ; 68541 ; Калия перманганат пор. 15г ; 2000773039588 ; 10224 ;01.01.2029; 86077/ПН-00021575 ;26.09.2024;24.09.2024; HOLD ; 04603988013213L1K70B022FL7E ; -1 ; Во входящих документах не обнаружено подтверждение КИЗ ; 701 ; ЕКТ02154492 ;20.09.2024; Пульс, Югра ; OK ; OK ; NULL ; OK ; 88 ;уведомление 601 содержит SSCC а не SGTIN; C87288C2-0F86-431D-894E-7162E3776542 ; 00000000490177 ; 00000000305734 ; 2024-10-11 06:17:39.037 ; 86A-0077SRV.apt.rigla.ru,8703 -d Rigla_86077 -U sa -P efarma2 ; 29 ; ЛС ; NULL
" Югра_ООО ""Ригла"" "; хмнАпт 157 ; 68541 ; Калия перманганат пор. 15г ; 2015704387102 ; 10224 ;01.01.2029; 86157/ПН-00010526 ;28.08.2024;28.08.2024; HOLD ; 04603988013213G1KE0B022JGEK ; -1 ; Во входящих документах не обнаружено подтверждение КИЗ ; 701 ; ЕКТ01930308 ;26.08.2024; Пульс, Югра ; OK ; OK ; NULL ; OK ; 88 ;уведомление 601 содержит SSCC а не SGTIN; 936CAA14-F39C-4C16-93C7-151A4DFE97A7 ; 00000000495344 ; 00000000305734 ; 2024-10-11 06:19:19.997 ; 86A-0157SRV.apt.rigla.ru,8703 -d Rigla_86157 -U sa -P efarma2 ; 29 ; ЛС ; NULL
" Югра_ООО ""Ригла"" "; хмнАпт 157 ; 68541 ; Калия перманганат пор. 15г ; 2015704387102 ; 10224 ;01.01.2029; 86157/ПН-00010526 ;28.08.2024;28.08.2024; HOLD ; 04603988013213D1K00B022LD06 ; -1 ; Во входящих документах не обнаружено подтверждение КИЗ ; 701 ; ЕКТ01930308 ;26.08.2024; Пульс, Югра ; OK ; OK ; NULL ; OK ; 88 ;уведомление 601 содержит SSCC а не SGTIN; 6BABAB54-F0EF-4E26-BF3B-EAED361DA041 ; 00000000495344 ; 00000000305734 ; 2024-10-11 06:19:19.997 ; 86A-0157SRV.apt.rigla.ru,8703 -d Rigla_86157 -U sa -P efarma2 ; 29 ; ЛС ; NULL
" Югра_ООО ""Ригла"" "; хмнАпт 157 ; 68541 ; Калия перманганат пор. 15г ; 2015704387102 ; 10224 ;01.01.2029; 86157/ПН-00010526 ;28.08.2024;28.08.2024; HOLD ; 04603988013213F1KL0B022JFLI ; -1 ; Во входящих документах не обнаружено подтверждение КИЗ ; 701 ; ЕКТ01930308 ;26.08.2024; Пульс, Югра ; OK ; OK ; NULL ; OK ; 88 ;уведомление 601 содержит SSCC а не SGTIN; 8757029F-9A96-4F82-99E7-47F747948250 ; 00000000495344 ; 00000000305734 ; 2024-10-11 06:19:19.997 ; 86A-0157SRV.apt.rigla.ru,8703 -d Rigla_86157 -U sa -P efarma2 ; 29 ; ЛС ; NULL
" Югра_ООО ""Ригла"" "; хмнАпт 157 ; 68541 ; Калия перманганат пор. 15г ; 2015704387102 ; 10224 ;01.01.2029; 86157/ПН-00010526 ;28.08.2024;28.08.2024; HOLD ; 04603988013213G1K90B020DG92 ; -1 ; Во входящих документах не обнаружено подтверждение КИЗ ; 701 ; ЕКТ01930308 ;26.08.2024; Пульс, Югра ; OK ; OK ; NULL ; OK ; 88 ;уведомление 601 содержит SSCC а не SGTIN; D47651A5-6183-42B0-9FF3-7BEACBB57D71 ; 00000000495344 ; 00000000305734 ; 2024-10-11 06:19:19.997 ; 86A-0157SRV.apt.rigla.ru,8703 -d Rigla_86157 -U sa -P efarma2 ; 29 ; ЛС ; NULL
" Югра_ООО ""Ригла"" "; хмнАпт 157 ; 68541 ; Калия перманганат пор. 15г ; 2015704387102 ; 10224 ;01.01.2029; 86157/ПН-00010526 ;28.08.2024;28.08.2024; HOLD ; 04603988013213H1KH0B021EHH9 ; -1 ; Во входящих документах не обнаружено подтверждение КИЗ ; 701 ; ЕКТ01930308 ;26.08.2024; Пульс, Югра ; OK ; OK ; NULL ; OK ; 88 ;уведомление 601 содержит SSCC а не SGTIN; 6BA6F1A7-D1C2-4A05-9F0C-A351D3B60667 ; 00000000495344 ; 00000000305734 ; 2024-10-11 06:19:19.997 ; 86A-0157SRV.apt.rigla.ru,8703 -d Rigla_86157 -U sa -P efarma2 ; 29 ; ЛС ; NULL
" Югра_ООО ""Ригла"" "; хмнАпт 157 ; 68541 ; Калия перманганат пор. 15г ; 2015704387102 ; 10224 ;01.01.2029; 86157/ПН-00010526 ;28.08.2024;28.08.2024; HOLD ; 0460398801321381KE0B022K8EL ; -1 ; Во входящих документах не обнаружено подтверждение КИЗ ; 701 ; ЕКТ01930308 ;26.08.2024; Пульс, Югра ; OK ; OK ; NULL ; OK ; 88 ;уведомление 601 содержит SSCC а не SGTIN; 2AFCA277-97D8-4C6F-9ACA-BA853ECC59AE ; 00000000495344 ; 00000000305734 ; 2024-10-11 06:19:19.997 ; 86A-0157SRV.apt.rigla.ru,8703 -d Rigla_86157 -U sa -P efarma2 ; 29 ; ЛС ; NULL
" Югра_ООО ""Ригла"" "; хмнАпт 157 ; 68541 ; Калия перманганат пор. 15г ; 2015704387102 ; 10224 ;01.01.2029; 86157/ПН-00010526 ;28.08.2024;28.08.2024; HOLD ; 0460398801321361K60B024I66E ; -1 ; Во входящих документах не обнаружено подтверждение КИЗ ; 701 ; ЕКТ01930308 ;26.08.2024; Пульс, Югра ; OK ; OK ; NULL ; OK ; 88 ;уведомление 601 содержит SSCC а не SGTIN; E8DB3428-CB21-4186-A46E-1D7AE12CF677 ; 00000000495344 ; 00000000305734 ; 2024-10-11 06:19:19.997 ; 86A-0157SRV.apt.rigla.ru,8703 -d Rigla_86157 -U sa -P efarma2 ; 29 ; ЛС ; NULL
" Югра_ООО ""Ригла"" "; хмнАпт 157 ; 68541 ; Калия перманганат пор. 15г ; 2015704387102 ; 10224 ;01.01.2029; 86157/ПН-00010526 ;28.08.2024;28.08.2024; HOLD ; 0460398801321381KG0B020G8GG ; -1 ; Во входящих документах не обнаружено подтверждение КИЗ ; 701 ; ЕКТ01930308 ;26.08.2024; Пульс, Югра ; OK ; OK ; NULL ; OK ; 88 ;уведомление 601 содержит SSCC а не SGTIN; FEC814DE-8F13-468F-917E-3378B8E9BBEE ; 00000000495344 ; 00000000305734 ; 2024-10-11 06:19:19.997 ; 86A-0157SRV.apt.rigla.ru,8703 -d Rigla_86157 -U sa -P efarma2 ; 29 ; ЛС ; NULL
